Name,Type,Description,
AutoPilot_Users,Security Group - Universal,,
Azure- EOP Test Group,Security Group - Universal,,
Azure Information Protection Users,Security Group - Universal,,
AzureAVD-Accounting,Security Group - Universal,,
AzureAVD-AnalysisAndProcedures,Security Group - Universal,,
AzureAVD-Appraisal,Security Group - Universal,,
AzureAVD-Audit,Security Group - Universal,,
AzureAVD-BankingOperations,Security Group - Universal,,
AzureAVD-BSA,Security Group - Universal,,
AzureAVD-BusinessBanking,Security Group - Universal,,
AzureAVD-BusinessDevelopment,Security Group - Universal,,
AzureAVD-BusinessSystemsProjects,Security Group - Universal,,
AzureAVD-CollectionsForeclosure,Security Group - Universal,,
AzureAVD-CommercialLoans,Security Group - Universal,,
AzureAVD-CommercialRealEstateEmpire,Security Group - Universal,,
AzureAVD-Compliance,Security Group - Universal,,
AzureAVD-Consultants,Security Group - Universal,,
AzureAVD-CreditCenter,Security Group - Universal,,
AzureAVD-DepositOps,Security Group - Universal,,
AzureAVD-DRBCP,Security Group - Universal,,
AzureAVD-Executive,Security Group - Universal,,
AzureAVD-Fraud,Security Group - Universal,,
AzureAVD-GeneralServices,Security Group - Universal,,
AzureAVD-GovernmentBanking,Security Group - Universal,,
AzureAVD-HR,Security Group - Universal,,
AzureAVD-InfoSec,Security Group - Universal,,
AzureAVD-InvestmentServices,Security Group - Universal,,
AzureAVD-InvestorRelations,Security Group - Universal,,
AzureAVD-IT,Security Group - Universal,,
AzureAVD-ITDevOps,Security Group - Universal,,
AzureAVD-LendingTechOpsSupport,Security Group - Universal,,
AzureAVD-LoanReview,Security Group - Universal,,
AzureAVD-LoanServicing,Security Group - Universal,,
AzureAVD-MIS,Security Group - Universal,,
AzureAVD-MPC,Security Group - Universal,,
AzureAVD-NetLabel,Security Group - Universal,,
AzureAVD-Operations Analysis and Support,Security Group - Universal,,
AzureAVD-OREReview,Security Group - Universal,,
AzureAVD-PMO,Security Group - Universal,,
AzureAVD-PortfolioManagement,Security Group - Universal,,
AzureAVD-RealEstateCreditCenter,Security Group - Universal,,
AzureAVD-ResidentialLending,Security Group - Universal,,
AzureAVD-RetailBanking,Security Group - Universal,,
AzureAVD-RetailService,Security Group - Universal,,
AzureAVD-Risk,Security Group - Universal,,
AzureAVD-SAND,Security Group - Universal,,
AzureAVD-Security,Security Group - Universal,,
AzureAVD-SolutionCenter,Security Group - Universal,,
AzureAVD-Training,Security Group - Universal,,
AzureAVD-Treasury,Security Group - Universal,,
AzureAVD-VendorManagement,Security Group - Universal,,
AzureCloudPC,Security Group - Universal,,
AzureCloudPC_testApps,Security Group - Universal,,
AzureCloudPCCustomImage,Security Group - Universal,,
AzureCloudPCWin11,Security Group - Universal,,
AzureFiles-bkofficeBranches,Security Group - Universal,,
AzureFiles-bkofficeUsers,Security Group - Universal,,
Azurefiles-BkofficeUsers1,Security Group - Universal,,
AzureFiles-MarcusUsers,Security Group - Universal,,
AzureFiles-MarcusUsers-TEST,Security Group - Universal,,
AzureFiles-UserProfiles001Access,Security Group - Universal,Allows users access to FSLogix userprofiles001 fileshare in Azure,
Intune_Adobe,Security Group - Universal,,
Intune_ADT_ESuite,Security Group - Universal,,
Intune_AlwaysOnVPN,Security Group - Universal,,
Intune_Android,Security Group - Universal,,
Intune_Android_Users,Security Group - Universal,,
Intune_Articulate,Security Group - Universal,,
Intune_Authenticator,Security Group - Universal,,
Intune_BaseApps,Security Group - Universal,All Intune users receive Edge, Outlook, Teams, and Tunnel,
Intune_BoardPapers,Security Group - Universal,,
Intune_BoardPapersWithConfig,Security Group - Universal,,
Intune_Brivo_On_Air,Security Group - Universal,,
Intune_Chrome,Security Group - Universal,,
Intune_Confluence,Security Group - Universal,,
Intune_Dataminr,Security Group - Universal,,
Intune_DefenderforEndpoint,Security Group - Universal,,
Intune_Edge,Security Group - Universal,,
Intune_Facebook,Security Group - Universal,,
Intune_IBM_Verify,Security Group - Universal,,
Intune_Instagram,Security Group - Universal,,
Intune_iOS_Group,Security Group - Universal,,
Intune_iOS_Users,Security Group - Universal,,
Intune_iOSVersionTestGroup,Security Group - Universal,,
Intune_Kindle,Security Group - Universal,,
Intune_LabelingClient,Security Group - Universal,,
Intune_Linkedin,Security Group - Universal,,
Intune_LinkedInLearning,Security Group - Universal,,
Intune_macOS_Users,Security Group - Universal,,
Intune_MSFT_Tunnel,Security Group - Universal,,
Intune_OfficeApps,Security Group - Universal,,
Intune_OneNote,Security Group - Universal,,
Intune_Open_Eye,Security Group - Universal,,
Intune_OReilly,Security Group - Universal,,
Intune_OutlookMobile,Security Group - Universal,,
Intune_Pluralsight,Security Group - Universal,,
Intune_PowerPoint,Security Group - Universal,,
Intune_RemoteDeskop,Security Group - Universal,,
Intune_ServiceDesk,Security Group - Universal,,
Intune_SonicWall,Security Group - Universal,,
Intune_SSPR,Security Group - Universal,,
Intune_Teams,Security Group - Universal,,
Intune_TedTalk,Security Group - Universal,,
Intune_Test,Security Group - Universal,,
Intune_TestGroup,Security Group - Universal,,
Intune_testWindowsMobile,Security Group - Universal,,
Intune_Twitter,Security Group - Universal,,
Intune_WebEx,Security Group - Universal,,
Intune_WebExCalling,Security Group - Universal,,
Intune_YahooFinance,Security Group - Universal,,
Intune_YouTube,Security Group - Universal,,
Intune_Zoom,Security Group - Universal,,
IntuneAVD-Portfolio Management,Security Group - Universal,,
Office365_ConditionalAccessUsers,Security Group - Universal,,
